ticket_id,agent_id,status,resolution_time,category
TKT02537,A004,Pending,1h 34m 8s,Billing
TKT02538,A036,Open,2h 6m 34s,Delivery
TKT02539,A005,Open,1h 15m 5s,Technical
TKT02540,A012,Pending,2h 13m 8s,General
TKT02541,A025,Open,0h 43m 15s,Billing
TKT02542,A007,Resolved,0h 3m 23s,Returns
TKT02543,A050,Resolved,0h 18m 36s,Returns
TKT02544,A021,Open,2h 21m 32s,Billing
TKT02545,A021,Resolved,1h 52m 16s,General
TKT02546,A014,Pending,2h 56m 57s,General
TKT02547,A012,Resolved,1h 1m 48s,Returns
TKT02548,A048,Open,1h 49m 36s,Returns
TKT02549,A022,Resolved,1h 41m 58s,Delivery
TKT02550,A026,Resolved,0h 56m 51s,General
TKT02551,A031,Pending,2h 59m 9s,General
TKT02552,A003,Resolved,1h 55m 11s,Returns
TKT02553,A041,Pending,0h 15m 7s,Technical
TKT02554,A005,Resolved,1h 26m 7s,Delivery
TKT02555,A032,Open,1h 25m 6s,Billing
TKT02556,A032,Resolved,2h 59m 15s,General
TKT02557,A005,Pending,0h 28m 21s,Returns
TKT02558,A031,Pending,2h 20m 53s,Billing
TKT02559,A031,Pending,1h 8m 17s,Technical
TKT02560,A032,Pending,2h 24m 41s,General
TKT02561,A006,Resolved,2h 38m 59s,Technical
TKT02562,A008,Pending,1h 53m 34s,Technical
TKT02563,A050,Open,1h 37m 42s,Delivery
TKT02564,A039,Resolved,2h 4m 0s,Returns
TKT02565,A022,Open,2h 21m 54s,General
TKT02566,A023,Resolved,0h 21m 54s,Technical
TKT02567,A012,Open,2h 33m 17s,Billing
TKT02568,A013,Pending,1h 26m 10s,Billing
TKT02569,A026,Pending,0h 47m 50s,Technical
TKT02570,A005,Resolved,0h 47m 12s,Billing
TKT02571,A023,Resolved,1h 15m 9s,Delivery
TKT02572,A003,Pending,2h 57m 2s,Billing
TKT02573,A004,Pending,0h 55m 15s,Technical
TKT02574,A011,Pending,1h 32m 26s,Technical
TKT02575,A008,Resolved,1h 46m 6s,Technical
TKT02576,A016,Resolved,1h 32m 10s,Delivery
TKT02577,A028,Resolved,1h 48m 2s,Billing
TKT02578,A027,Pending,1h 35m 35s,Returns
TKT02579,A008,Resolved,2h 48m 5s,General
TKT02580,A026,Pending,1h 5m 52s,Delivery
TKT02581,A036,Resolved,1h 2m 10s,Technical
TKT02582,A045,Pending,1h 52m 4s,Billing
TKT02583,A050,Resolved,0h 49m 10s,Technical
TKT02584,A036,Resolved,2h 57m 52s,Billing
TKT02585,A049,Pending,1h 18m 12s,General
TKT02586,A020,Open,2h 30m 0s,Technical
TKT02587,A007,Open,0h 6m 59s,Returns
TKT02588,A026,Open,1h 57m 59s,Delivery
TKT02589,A045,Resolved,2h 35m 49s,General
TKT02590,A020,Resolved,2h 37m 18s,Billing
TKT02591,A027,Resolved,1h 27m 58s,Returns
TKT02592,A047,Open,1h 16m 48s,Delivery
TKT02593,A016,Resolved,2h 59m 13s,Delivery
TKT02594,A017,Open,2h 53m 28s,Returns
TKT02595,A014,Pending,0h 7m 38s,Delivery
TKT02596,A015,Pending,1h 17m 31s,Technical
TKT02597,A049,Resolved,1h 2m 57s,General
TKT02598,A001,Pending,1h 44m 49s,Delivery
TKT02599,A032,Resolved,0h 54m 31s,Delivery
TKT02600,A013,Resolved,1h 1m 16s,General
TKT02601,A013,Open,0h 56m 2s,Billing
TKT02602,A048,Pending,1h 25m 33s,Returns
TKT02603,A005,Open,2h 57m 52s,Returns
TKT02604,A033,Resolved,0h 20m 59s,General
TKT02605,A044,Resolved,0h 42m 19s,Billing
TKT02606,A024,Open,2h 41m 54s,Delivery
TKT02607,A046,Resolved,1h 12m 51s,Technical
TKT02608,A013,Open,1h 1m 36s,Billing
TKT02609,A050,Pending,2h 42m 12s,Technical
TKT02610,A010,Pending,0h 59m 43s,Returns
TKT02611,A046,Resolved,2h 19m 58s,Technical
TKT02612,A005,Resolved,2h 37m 42s,Returns
TKT02613,A025,Pending,2h 50m 9s,Billing
TKT02614,A001,Open,2h 29m 13s,Delivery
TKT02615,A018,Resolved,1h 55m 14s,Returns
TKT02616,A009,Resolved,0h 40m 55s,Delivery
TKT02617,A010,Open,2h 45m 5s,Delivery
TKT02618,A048,Pending,1h 22m 38s,Billing
TKT02619,A010,Resolved,0h 10m 12s,Returns
TKT02620,A036,Pending,1h 31m 41s,Delivery
TKT02621,A010,Resolved,2h 29m 22s,Technical
TKT02622,A049,Resolved,0h 59m 52s,General
TKT02623,A040,Resolved,0h 2m 36s,General
TKT02624,A023,Pending,0h 9m 53s,General
TKT02625,A038,Resolved,1h 50m 55s,Billing
TKT02626,A034,Pending,1h 1m 16s,Delivery
TKT02627,A019,Resolved,2h 23m 54s,Technical
TKT02628,A028,Resolved,1h 43m 7s,Delivery
TKT02629,A015,Open,0h 35m 12s,Technical
TKT02630,A023,Resolved,0h 56m 55s,Technical
TKT02631,A015,Resolved,0h 7m 37s,Billing
TKT02632,A048,Pending,2h 27m 43s,Delivery
TKT02633,A042,Resolved,0h 14m 57s,General
TKT02634,A018,Resolved,0h 26m 27s,Technical
TKT02635,A041,Resolved,2h 4m 7s,General
TKT02636,A036,Open,2h 54m 3s,Technical
TKT02637,A041,Pending,0h 27m 43s,Technical
TKT02638,A029,Open,0h 3m 45s,Delivery
TKT02639,A025,Open,1h 18m 20s,General
TKT02640,A036,Open,1h 11m 5s,Returns
TKT02641,A034,Pending,0h 37m 53s,Billing
TKT02642,A018,Open,1h 27m 57s,General
TKT02643,A004,Resolved,0h 50m 43s,Technical
TKT02644,A005,Resolved,0h 4m 45s,Technical
TKT02645,A021,Pending,1h 35m 33s,Billing
TKT02646,A014,Pending,1h 55m 21s,Returns
TKT02647,A011,Resolved,0h 33m 30s,Returns
TKT02648,A047,Resolved,2h 40m 8s,Billing
TKT02649,A027,Pending,0h 28m 31s,Returns
TKT02650,A009,Resolved,0h 8m 48s,General
TKT02651,A035,Open,0h 33m 21s,Returns
TKT02652,A013,Resolved,2h 15m 5s,Returns
TKT02653,A010,Pending,2h 14m 44s,Technical
TKT02654,A019,Resolved,0h 27m 40s,Billing
TKT02655,A037,Pending,0h 19m 43s,Returns
TKT02656,A017,Open,1h 52m 25s,General
TKT02657,A045,Pending,1h 17m 2s,General
TKT02658,A028,Pending,2h 58m 35s,Technical
TKT02659,A005,Resolved,1h 35m 41s,Delivery
TKT02660,A001,Open,2h 23m 57s,Returns
TKT02661,A032,Resolved,1h 17m 20s,Technical
TKT02662,A011,Resolved,0h 54m 26s,Returns
TKT02663,A041,Open,2h 4m 15s,Billing
TKT02664,A045,Resolved,0h 47m 17s,Billing
TKT02665,A013,Resolved,1h 9m 10s,General
TKT02666,A033,Resolved,0h 22m 20s,Returns
TKT02667,A020,Resolved,2h 4m 33s,Delivery
TKT02668,A025,Resolved,0h 43m 18s,General
TKT02669,A012,Open,0h 37m 21s,Billing
TKT02670,A017,Pending,0h 46m 15s,General
TKT02671,A003,Resolved,0h 53m 56s,General
TKT02672,A003,Pending,0h 50m 45s,Billing
TKT02673,A036,Open,1h 15m 0s,Billing
TKT02674,A035,Resolved,1h 40m 50s,General
TKT02675,A014,Resolved,2h 15m 6s,Technical
TKT02676,A022,Resolved,1h 15m 51s,Delivery
TKT02677,A011,Pending,2h 43m 13s,Returns
TKT02678,A035,Resolved,0h 49m 38s,General
TKT02679,A035,Open,2h 58m 26s,Delivery
TKT02680,A030,Open,0h 12m 24s,Technical
TKT02681,A032,Pending,2h 37m 21s,Returns
TKT02682,A035,Resolved,0h 35m 3s,Returns
TKT02683,A016,Pending,2h 10m 46s,General
TKT02684,A012,Pending,0h 17m 17s,Returns
TKT02685,A041,Pending,2h 31m 45s,General
TKT02686,A002,Resolved,0h 26m 20s,Billing
TKT02687,A023,Resolved,2h 16m 26s,Delivery
TKT02688,A039,Resolved,1h 14m 10s,Delivery
TKT02689,A032,Open,1h 40m 34s,Returns
TKT02690,A013,Resolved,1h 23m 50s,Technical
TKT02691,A048,Resolved,1h 52m 0s,Returns
TKT02692,A045,Open,0h 5m 23s,Technical
TKT02693,A010,Resolved,0h 44m 49s,Technical
TKT02694,A038,Open,1h 44m 8s,General
TKT02695,A035,Pending,1h 48m 54s,Billing
TKT02696,A045,Open,0h 25m 55s,Billing
TKT02697,A034,Resolved,1h 29m 16s,Billing
TKT02698,A010,Resolved,0h 57m 51s,Returns
TKT02699,A007,Open,2h 25m 48s,Technical
TKT02700,A043,Resolved,2h 7m 50s,Billing
TKT02701,A022,Open,2h 26m 8s,Returns
TKT02702,A005,Resolved,2h 25m 10s,Technical
TKT02703,A020,Open,0h 41m 32s,Returns
TKT02704,A015,Resolved,0h 24m 13s,Delivery
TKT02705,A041,Open,1h 24m 21s,Billing
TKT02706,A034,Resolved,2h 10m 49s,Billing
TKT02707,A004,Resolved,0h 49m 53s,Technical
TKT02708,A033,Open,1h 3m 11s,General
TKT02709,A018,Open,0h 55m 18s,Technical
TKT02710,A018,Resolved,0h 31m 59s,General
TKT02711,A022,Resolved,2h 4m 28s,Delivery
TKT02712,A046,Pending,0h 43m 40s,Technical
TKT02713,A038,Pending,0h 8m 32s,Technical
TKT02714,A014,Resolved,0h 39m 8s,Delivery
TKT02715,A023,Pending,0h 24m 39s,Billing
TKT02716,A006,Pending,0h 7m 14s,Billing
TKT02717,A013,Open,0h 46m 55s,Technical
TKT02718,A024,Open,2h 56m 45s,Billing
TKT02719,A022,Resolved,1h 32m 42s,Technical
TKT02720,A048,Resolved,0h 7m 19s,Delivery
TKT02721,A047,Resolved,2h 34m 27s,Billing
TKT02722,A004,Pending,1h 36m 56s,Technical
TKT02723,A034,Open,0h 11m 11s,Billing
TKT02724,A046,Resolved,1h 40m 8s,Returns
TKT02725,A005,Resolved,1h 7m 32s,Delivery
TKT02726,A036,Resolved,1h 15m 33s,Billing
TKT02727,A025,Resolved,0h 11m 52s,General
TKT02728,A050,Open,0h 5m 21s,Returns
TKT02729,A028,Resolved,0h 42m 2s,General
TKT02730,A023,Pending,0h 29m 34s,Delivery
TKT02731,A020,Resolved,2h 38m 36s,General
TKT02732,A040,Pending,0h 36m 28s,General
TKT02733,A010,Resolved,0h 1m 2s,Returns
TKT02734,A008,Resolved,1h 10m 57s,Technical
TKT02735,A041,Resolved,2h 25m 17s,Delivery
TKT02736,A029,Resolved,0h 39m 9s,General
TKT02737,A005,Pending,0h 41m 24s,Technical
TKT02738,A049,Open,2h 3m 51s,Billing
TKT02739,A003,Resolved,2h 0m 35s,Returns
TKT02740,A049,Resolved,2h 45m 27s,Returns
TKT02741,A006,Open,1h 18m 26s,General
TKT02742,A036,Pending,2h 6m 30s,Returns
TKT02743,A031,Pending,2h 10m 1s,Returns
TKT02744,A030,Open,0h 42m 1s,Returns
TKT02745,A018,Resolved,1h 39m 24s,Billing
TKT02746,A023,Pending,2h 15m 42s,Technical
TKT02747,A019,Pending,1h 52m 5s,Delivery
TKT02748,A004,Resolved,0h 18m 13s,Delivery
TKT02749,A041,Pending,0h 9m 53s,Technical
TKT02750,A014,Pending,1h 2m 50s,Returns
TKT02751,A006,Open,0h 56m 30s,Technical
TKT02752,A006,Pending,2h 14m 4s,Technical
TKT02753,A042,Pending,1h 30m 3s,General
TKT02754,A001,Open,2h 28m 16s,Technical
TKT02755,A020,Open,1h 49m 20s,Technical
TKT02756,A022,Resolved,0h 13m 1s,Delivery
TKT02757,A002,Pending,2h 8m 59s,Delivery
TKT02758,A012,Resolved,1h 6m 7s,Returns
TKT02759,A015,Open,1h 43m 31s,General
TKT02760,A046,Open,0h 20m 43s,Returns
TKT02761,A039,Resolved,0h 38m 10s,Technical
TKT02762,A008,Pending,1h 12m 3s,Billing
TKT02763,A009,Resolved,2h 39m 25s,Delivery
TKT02764,A002,Resolved,1h 48m 17s,Technical
TKT02765,A007,Open,1h 18m 34s,General
TKT02766,A001,Resolved,2h 6m 22s,Delivery
TKT02767,A018,Resolved,2h 34m 34s,Billing
TKT02768,A009,Resolved,0h 54m 24s,Returns
TKT02769,A050,Pending,1h 59m 45s,Billing
TKT02770,A009,Resolved,2h 37m 7s,General
TKT02771,A037,Pending,0h 43m 26s,Technical
TKT02772,A019,Open,1h 57m 24s,Delivery
TKT02773,A006,Open,0h 20m 27s,Billing
TKT02774,A017,Pending,2h 16m 45s,General
TKT02775,A019,Pending,2h 12m 51s,Delivery
TKT02776,A042,Resolved,0h 46m 19s,General
TKT02777,A019,Open,2h 31m 25s,Billing
TKT02778,A024,Pending,0h 38m 5s,Delivery
TKT02779,A003,Resolved,0h 49m 51s,Technical
TKT02780,A027,Open,1h 13m 12s,General
TKT02781,A036,Resolved,1h 16m 44s,Billing
TKT02782,A041,Pending,2h 44m 54s,Delivery
TKT02783,A019,Open,2h 22m 51s,Returns
TKT02784,A019,Pending,1h 52m 51s,General
TKT02785,A044,Resolved,1h 13m 12s,Billing
TKT02786,A004,Open,1h 5m 38s,Billing
TKT02787,A039,Resolved,2h 58m 43s,Billing
TKT02788,A044,Resolved,2h 54m 55s,General
TKT02789,A035,Open,2h 28m 28s,Returns
TKT02790,A040,Resolved,0h 7m 15s,Technical
TKT02791,A015,Resolved,1h 56m 44s,Technical
TKT02792,A034,Open,2h 39m 20s,Billing
TKT02793,A034,Open,1h 7m 11s,General
TKT02794,A028,Resolved,1h 21m 31s,Technical
TKT02795,A005,Pending,2h 49m 52s,Technical
TKT02796,A032,Pending,1h 12m 1s,Returns
TKT02797,A001,Open,1h 27m 53s,General
TKT02798,A018,Resolved,0h 16m 56s,Technical
TKT02799,A002,Resolved,2h 23m 13s,Technical
TKT02800,A038,Pending,1h 26m 17s,Billing
TKT29991,null,Resolved,0h 18m 22s,Billing
TKT29992,A001,Resolved,null,Technical
TKT29993,A002,Resolved,BADTIME,General
null,A003,Resolved,0h 42m 10s,Delivery
TKT29994,A049,Resolved,0h 20m 45s,Returns
TKT29995,A050,Resolved,0h 28m 35s,Technical
